SMILES,Name
N[C@@H](Cc1ccc(N(CCO)CCO)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(B(O)O)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(N2CCOCC2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(I)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(Br)cc1)C(=O)O,phe
N[C@@H](Cc1cccc(F)c1)C(=O)O,phe
N[C@@H](Cc1ccc(F)cc1)C(=O)O,phe
CN(C)c1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccc(C(=O)c2ccccc2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(CS(=O)(=O)O)cc1)C(=O)O,phe
Nc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccccc1F)C(=O)O,phe
N[C@@H](Cc1ccc(Cl)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(C(F)(F)F)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(CP(=O)(O)O)cc1)C(=O)O,phe
COc1ccc(OC)c(C[C@H](N)C(=O)O)c1,phe
N[C@@H](Cc1c(F)c(F)c(F)c(F)c1F)C(=O)O,phe
N[C@@H](Cc1cccc(Cl)c1)C(=O)O,phe
CC(C)(C)c1ccc(C[C@H](N)C(=O)O)cc1,phe
CC(=O)c1ccc(C[C@H](N)C(=O)O)cc1,phe
CC(C)(Br)C(=O)Nc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@H](C(=O)O)C(O)c1ccc(Cl)c(Cl)c1,phe
N[C@@H](Cc1ccccc1Cl)C(=O)O,phe
N=C(N)c1ccc(C[C@H](N)C(=O)O)cc1,phe
CC(C)(C)OC(=O)c1ccc(C[C@H](N)C(=O)O)cc1,phe
Cc1ccccc1-c1ccccc1CNc1cnc(-c2ccc(C[C@H](N)C(=O)O)cc2)cn1,phe
N[C@@H](Cc1ccc(-n2ncnn2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(NC(=O)c2ccnc3ccccc23)cc1)C(=O)O,phe
CS(=O)(=O)Nc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1cc(Cl)c(Cl)c(-c2cncc(O)c2)c1)C(=O)O,phe
C=CC(=O)Nc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccc(Cl)cc1Cl)C(=O)O,phe
[N-]=[N+]=Nc1ccc(C[C@H](N)C(=O)O)cc1,phe
C#Cc1ccc(C[C@H](N)C(=O)O)cc1,phe
Cc1ccc(C)c(C[C@H](N)C(=O)O)c1,phe
N#Cc1ccc(C[C@H](N)C(=O)O)cc1,phe
COc1ccc(C[C@H](N)C(=O)O)cc1OC,phe
Cc1ccc(C[C@H](N)C(=O)O)cc1,phe
N#Cc1cccc(C[C@H](N)C(=O)O)c1,phe
N[C@@H](Cc1ccccc1Br)C(=O)O,phe
Cc1cccc(C[C@H](N)C(=O)O)c1,phe
COc1cccc(C[C@H](N)C(=O)O)c1,phe
N[C@@H](CC1=CC(C(=O)[C@@H](N)CCC(=O)O)(C(=O)[C@@H](N)CCC(=O)O)CC=C1)C(=O)O,phe
N[C@@H](Cc1ccc(F)c(F)c1)C(=O)O,phe
N[C@@H](Cc1ccc(Cl)c(Cl)c1)C(=O)O,phe
N[C@@H](Cc1cccc(Br)c1)C(=O)O,phe
N[C@@H](Cc1ccc(P(=O)(O)O)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(C(=O)c2ccc(O)cc2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(C(F)(F)C(=O)O)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(C(=O)CF)cc1)C(=O)O,phe
N[C@@H](Cc1cccc(C(=O)[C@@H](N)CCC(=O)O)c1)C(=O)O,phe
N[C@@H](Cc1cc(F)c(F)c(F)c1)C(=O)O,phe
[N-]=[N+]=NCc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccccc1O)C(=O)O,phe
N[C@@H](Cc1cccc(O)c1)C(=O)O,phe
N[C@@H](Cc1ccc(C(=O)O)cc1)C(=O)O,phe
Nc1c(I)cc(C[C@H](N)C(=O)O)cc1I,phe
N[C@@H](Cc1ccc(C2(C(F)(F)F)N=N2)cc1)C(=O)O,phe
N[C@@H](Cc1cccc(I)c1)C(=O)O,phe
N[C@@H](Cc1ccc(/N=N/c2ccc(C(=O)O)cc2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)O,phe
N[C@@H](Cc1cc(F)cc(F)c1)C(=O)O,phe
N[C@@H](Cc1ccc(OC(F)(F)C(F)(F)F)cc1)C(=O)O,phe
N[C@@H](Cc1cc(CP(=O)(O)O)cc(-c2cccc3ccccc23)c1)C(=O)O,phe
CCC1(CC)C(=O)N(C(=O)NCc2ccccc2)C1Oc1ccc(C[C@H](N)C(=O)O)cc1,phe
Cc1cccc(C(C)C)c1C[C@H](N)C(=O)O,phe
CCc1cccc(C)c1C[C@H](N)C(=O)O,phe
CSc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1cccc(C(=O)c2ccccc2)c1)C(=O)O,phe
N[C@@H](Cc1ccc(OC(F)(F)C(F)C(F)(F)F)cc1)C(=O)O,phe
Cc1ccccc1[C@H](C)[C@H](N)C(=O)O,phe
N[C@@H](Cc1ccc(S(=O)(=O)Cl)cc1)C(=O)O,phe
COP(=O)(O)Cc1c(F)c(F)c(C[C@H](N)C(=O)O)c(F)c1F,phe
CC(C)(C)c1ccc([C@H](c2cccc(O)c2)[C@H](N)C(=O)O)cc1,phe
CCC(CC)c1cccc(C[C@H](N)C(=O)O)c1,phe
CCNc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccc(CC(F)(F)F)cc1)C(=O)O,phe
COc1cccc(C[C@H](N)C(=O)O)c1OC,phe
N[C@@H](Cc1ccc(C2(C(F)(F)F)N=N2)cc1OCCNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12)C(=O)O,phe
N[C@@H](Cc1cc(O)c(OO)cc1OO)C(=O)O,phe
N[C@@H](Cc1ccc(CC[18F])cc1)C(=O)O,phe
Cc1cc(O)c(O)cc1C[C@H](N)C(=O)O,phe
Cc1cc(C[C@H](N)C(=O)O)ccc1F,phe
N[C@@H](Cc1ccccc1OS(=O)(=O)O)C(=O)O,phe
N[C@@H](Cc1ccc(Cl)c(Br)c1)C(=O)O,phe
CNC(=O)Nc1ccc(C[C@H](N)C(=O)O)cc1,phe
Cc1cc(Cl)ccc1C[C@H](N)C(=O)O,phe
N[C@@H](Cc1cccc(C(=O)O)c1O)C(=O)O,phe
Cc1ccccc1S(=O)(=O)c1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccc(-c2nn[nH]n2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)C(=O)O,phe
COc1ccc(F)c(C[C@H](N)C(=O)O)c1,phe
Nc1c(Br)cc(C[C@H](N)C(=O)O)cc1Br,phe
N[C@@H](Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(-c2ccc(F)cc2)cc1)C(=O)O,phe
N[C@@H](Cc1c(Br)c(Br)c(Br)c(Br)c1Br)C(=O)O,phe
CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(C[C@H](N)C(=O)O)cc3)cccc12,phe
N[C@@H](Cc1cc(I)c(Cc2ccc(O)c(I)c2)c(I)c1)C(=O)O,phe
CC(=O)NCSc1ccc(C[C@H](N)C(=O)O)cc1,phe
Cc1ccc(SSc2ccc(C[C@H](N)C(=O)O)cc2)cc1,phe
N[C@@H](Cc1ccc(S(N)(=O)=O)cc1)C(=O)O,phe
CCSC(=O)c1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1cccc(Oc2ccc(C(=O)NO)cc2)c1)C(=O)O,phe
N[C@@H](Cc1ccc(NC(=O)[C@H]2CC/C=C\CCC2)cc1)C(=O)O,phe
N[C@@H](CC1(C(=O)C(CS)CS)C=CC=CC1)C(=O)O,phe
CC#CCOc1ccc(C[C@H](N)C(=O)O)cc1,phe
Cc1cccc(-c2ccc(C[C@H](N)C(=O)O)cc2)c1,phe
CCCCOc1cccc(C[C@H](N)C(=O)O)c1,phe
N[C@@H](Cc1cccc(Br)c1F)C(=O)O,phe
N[C@@H](Cc1cc(O)c(O)c(Sc2nc3ccccc3[nH]2)c1)C(=O)O,phe
N[C@@H](Cc1cc(O)c(O)c(Sc2ncn[nH]2)c1)C(=O)O,phe
COCCN(CCO)c1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccc(N(CCCl)CCOCCCl)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1Cl)C(=O)O,phe
N[C@@H](Cc1cccc(-c2ccc3ccc4cccc5ccc2c3c45)c1)C(=O)O,phe
COc1cc(C2(C(F)(F)F)N=N2)ccc1C[C@H](N)C(=O)O,phe
N[C@@H](Cc1ccc(NC(=O)CCc2ccc(C=C3C=CC(c4cccs4)=N3)[nH]2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(NS(=O)(=O)O)cc1)C(=O)O,phe
CO[C@@H](c1ccccc1)[C@H](N)C(=O)O,phe
N[C@@H](Cc1ccc(C(F)(F)S(N)(=O)=O)cc1)C(=O)O,phe
Nc1ncnc2c1nc(C#Cc1ccc(C[C@H](N)C(=O)O)cc1)n2[C@H]1C[C@H](O)[C@@H](CO)O1,phe
Nc1ncnc2c1c(-c1ccc(C[C@H](N)C(=O)O)cc1)cn2[C@H]1C[C@H](O)[C@@H](CO)O1,phe
Nc1ncnc2c1c(C#Cc1ccc(C[C@H](N)C(=O)O)cc1)cn2[C@H]1C[C@H](O)[C@@H](CO)O1,phe
N[C@@H](Cc1ccc(C#Cc2cn([C@H]3C[C@H](O)[C@@H](CO)O3)c(=O)[nH]c2=O)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(-c2nnn(-c3ccccc3)n2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(-c2cc(C(=O)O)no2)cc1)C(=O)O,phe
N[C@@H](Cc1cccc(-c2ccncc2)c1)C(=O)O,phe
N[C@H](C(=O)O)/C(=C/F)c1ccc(F)c(O)c1,phe
N[C@@H](Cc1ccc(NC(=O)CCCCCNC(=O)C2=CC=CC2)cc1)C(=O)O,phe
CC(C)(C)c1ccc([C@@H](c2cccc(O)c2)[C@H](N)C(=O)O)cc1,phe
COc1ccc([C@H](NS(=O)(=O)c2ccc(C)cc2)[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccc(NCC2(O)OC[C@@H](O)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H]2O)cc1)C(=O)O,phe
COP(=O)(O)C(F)(F)c1ccc(C[C@H](N)C(=O)O)cc1,phe
CC(C)[C@@H](c1ccccc1)[C@H](N)C(=O)O,phe
C[C@H](Oc1cc(-c2ccc(C[C@H](N)C(=O)O)cc2)nc(N)n1)c1ccc2ccccc2c1,phe
N[C@@H](Cc1c(F)cc(B(O)O)cc1F)C(=O)O,phe
CCCCCC(=O)c1cccc(C[C@H](N)C(=O)O)c1,phe
CCCCCOc1cccc(C[C@H](N)C(=O)O)c1,phe
CCCCC(=O)c1cccc(C[C@H](N)C(=O)O)c1,phe
N[C@@H](Cc1ccc(CP(=O)(O)Cc2ccccc2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(CP(=O)(O)C(O)c2ccccc2)cc1)C(=O)O,phe
N[C@@H](Cc1cccc(O)c1F)C(=O)O,phe
Cc1ccccc1C(C)[C@H](N)C(=O)O,phe
Cc1ccc(C[C@H](N)C(=O)O)cc1Cl,phe
N[C@@H](Cc1cc(Br)ccc1Cl)C(=O)O,phe
N[C@@H](Cc1cc(F)cc(Br)c1)C(=O)O,phe
COc1cccc(Oc2cccc(N3CCCCC3)c2C/N=C(\N)NC(=O)c2ccc(C[C@H](N)C(=O)O)cc2)c1,phe
COc1ccc(CS[C@@H](c2ccccc2)[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccc(NC(=O)NCCCl)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(NC(=O)NC2CCCCC2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(CC#CBr)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(NC(=O)[C@@H]2CC(=O)NC(=O)N2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(NC(=O)CCC2=N/C(=C/c3ccc(-c4ccc[nH]4)n3B(F)F)C=C2)cc1)C(=O)O,phe
N=[N+]=Nc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1c(F)cccc1F)C(=O)O,phe
N[C@@H](Cc1cccc(F)c1F)C(=O)O,phe
N[C@@H](Cc1cc(CP(=O)(O)O)cc(-c2ccc3ccccc3c2)c1)C(=O)O,phe
NC(=S)Nc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccc(C#C[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1)C(=O)O,phe
Cc1ccc(S(=O)(=O)N[C@@H](c2ccccc2)[C@H](N)C(=O)O)cc1,phe
CC(=O)Nc1ccc([C@@H](O)[C@H](N)C(=O)O)cc1,phe
CC(C)(C)OC(=O)C(C(=O)OC(C)(C)C)c1ccc(C[C@H](N)C(=O)O)cc1,phe
Cn1c(-c2ccc(C[C@H](N)C(=O)O)cc2)nc2ccccc21,phe
N[C@@H](Cc1ccc(-c2ccccc2F)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(CS(N)(=O)=O)cc1)C(=O)O,phe
Cn1c(-c2ccc(C[C@H](N)C(=O)O)cc2)c(C#N)c2ccccc21,phe
N[C@@H](Cc1ccc(S)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(SCc2ccccc2)cc1)C(=O)O,phe
CC(C)[C@H](c1ccccc1)[C@H](N)C(=O)O,phe
N[C@@H](Cc1ccc(P(c2ccccc2)c2ccccc2)cc1)C(=O)O,phe
N[C@H](C(=O)O)[C@H](c1ccc(-c2ccccc2)cc1)c1cccc(O)c1,phe
Cc1c(C[C@H](N)C(=O)O)ccc(O)c1O,phe
N[C@@H](Cc1ccccc1C1CCCC1)C(=O)O,phe
N[C@@H](Cc1cccc(C2CCCC2)c1)C(=O)O,phe
N[C@@H](Cc1ccccc1C1CCCCC1)C(=O)O,phe
CO[C@H](c1ccccc1)[C@H](N)C(=O)O,phe
N[C@@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)C(=O)O,phe
COc1cccc(OC)c1-c1ccc(C[C@H](N)C(=O)O)cc1,phe
CC(=O)Oc1ccc(C[C@H](N)C(=O)O)cc1OC(C)=O,phe
N[C@@H](Cc1ccc(C2(C(F)(F)F)NN2)cc1)C(=O)O,phe
COc1cc(C[C@H](N)C(=O)O)cc(OC)c1,phe
CCOc1cccc(C[C@H](N)C(=O)O)c1,phe
Nc1nc(O[C@H](c2ccc(-c3cccc(F)c3)cc2)C(F)(F)F)cc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,phe
C[C@H](Nc1nc(N)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1)c1ccc2ccccc2c1,phe
N[C@@H](Cc1cc(O)c(OO)c(OO)c1)C(=O)O,phe
N[C@@H](Cc1c(Cl)cc(Cl)cc1Cl)C(=O)O,phe
N[C@@H](Cc1ccc(CP(=O)(OF)OF)cc1)C(=O)O,phe
N#CC1(c2ccccc2)CCN(C(=O)Nc2ccc(C[C@H](N)C(=O)O)cc2)CC1,phe
N[C@@H](Cc1ccccc1C(=O)O)C(=O)O,phe
N[C@@H](Cc1c(Br)cc(Br)cc1Br)C(=O)O,phe
Cc1cc(C)c(S(=O)(=O)Nc2ccc(C[C@H](N)C(=O)O)cc2)c(C)c1,phe
COc1cc(C[C@H](N)C(=O)O)ccc1Cl,phe
N[C@@H](Cc1cccc(-c2nn[nH]n2)c1)C(=O)O,phe
CCCOc1cccc(C[C@H](N)C(=O)O)c1,phe
CCCCCc1cccc(C[C@H](N)C(=O)O)c1,phe
N[C@@H](Cc1cccc(Oc2ccc3ccccc3c2)c1)C(=O)O,phe
N[C@@H](Cc1cccc(OCCc2ccc3ccccc3c2)c1)C(=O)O,phe
N[C@@H](Cc1cccc(Oc2ccc(Oc3ccc(O)cc3)cc2)c1)C(=O)O,phe
Cc1ccc(-c2ccc(C[C@H](N)C(=O)O)cc2)cc1,phe
N[C@@H](Cc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cc1)C(=O)O,phe
COc1ccc(C[C@H](N)C(=O)O)c(Cl)c1,phe
Cc1cc(C[C@H](N)C(=O)O)ccc1Cl,phe
Cc1ccc(S(=O)(=O)c2ccc(C[C@H](N)C(=O)O)cc2)cc1,phe
N[C@@H](Cc1ccc(N(CCl)CCl)cc1)C(=O)O,phe
N[C@@H](Cc1cc(I)c(Sc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,phe
N[C@@H](Cc1cc(I)c(Sc2cccc(I)c2)c(I)c1)C(=O)O,phe
N[C@@H](Cc1ccc(SCc2cccc(Br)c2)cc1)C(=O)O,phe
CCCCSSc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1cc(I)c(Sc2ccc(O)c(I)c2)c(I)c1)C(=O)O,phe
N[C@@H](Cc1ccc(N=C=S)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(C(=O)OCc2ccccc2)cc1)C(=O)O,phe
COc1cc(Br)ccc1C[C@H](N)C(=O)O,phe
N[C@@H](Cc1cccc(-c2ccc3ccccc3c2)c1)C(=O)O,phe
Cc1cccc(C[C@H](N)C(=O)O)c1F,phe
Cc1ccc(Cl)cc1C[C@H](N)C(=O)O,phe
COc1cc(Cl)ccc1C[C@H](N)C(=O)O,phe
N[C@@H](Cc1ccc(P(=O)(O)c2ccc(C[C@H](N)C(=O)O)cc2)cc1)C(=O)O,phe
CCc1ccc(C[C@H](N)C(=O)O)c(C)c1,phe
N[C@@H](Cc1cccc(-c2cccc3ccccc23)c1)C(=O)O,phe
N[C@@H](Cc1ccccc1P(c1ccccc1)c1ccccc1)C(=O)O,phe
N[C@H](C(=O)O)[C@@H](NC(=O)C1CCC2(CC1)CCN(c1ccncc1)CC2)c1ccccc1,phe
NCCOCCOCCOc1cc(C2(C(F)(F)F)N=N2)ccc1C[C@H](N)C(=O)O,phe
N[C@@H](Cc1ccc(C2(C(F)(F)F)N=N2)cc1OCCOCCOCCNC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,phe
NCCOc1cc(C2(C(F)(F)F)N=N2)ccc1C[C@H](N)C(=O)O,phe
Cc1cc(C)c(/C=C2\C=CC(CCC(=O)Nc3ccc(C[C@H](N)C(=O)O)cc3)=N2)[nH]1,phe
Cc1cc(C)c(/C=C2\C=CC(CCCCC(=O)Nc3ccc(C[C@H](N)C(=O)O)cc3)=N2)[nH]1,phe
Nc1ncnc2c1nc(-c1ccc(C[C@H](N)C(=O)O)cc1)n2[C@H]1C[C@H](O)[C@@H](CO)O1,phe
N[C@@H](Cc1ccc(-c2cn([C@H]3C[C@H](O)[C@@H](CO)O3)c(=O)[nH]c2=O)cc1)C(=O)O,phe
Nc1ccc(-n2nnc(-c3ccc(C[C@H](N)C(=O)O)cc3)n2)cc1,phe
C[C@@H](c1ccc(Br)cc1)[C@H](N)C(=O)O,phe
N[C@@H](Cc1ccc(N2CN2C(F)(F)F)cc1)C(=O)O,phe
COc1cc(I)cc(C[C@H](N)C(=O)O)c1,phe
N[C@H](C(=O)O)[C@@H](c1ccc(-c2ccccc2)cc1)c1cccc(O)c1,phe
Cc1ccc(S(=O)(=O)N[C@@H](c2ccc(F)cc2)[C@H](N)C(=O)O)cc1,phe
CC(C)(Sc1cc(C[C@H](N)C(=O)O)cc(O)c1O)[C@H](N)C(=O)O,phe
N[C@@H](Cc1ccc(N[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1)C(=O)O,phe
CC(=O)Nc1ccc([C@H](O)[C@H](N)C(=O)O)cc1,phe
C[C@H](Nc1cc(-c2ccc(C[C@H](N)C(=O)O)cc2)nc(N)n1)c1ccc2ccccc2c1,phe
N[C@@H](Cc1ccc(C#CCCCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)cc1)C(=O)O,phe
CN(C)c1cccc2c(S(=O)(=O)Nc3cccc(NS(=O)(=O)c4cccc5c(N(C)C)cccc45)c3C[C@H](N)C(=O)O)cccc12,phe
[N-]=[N+]=NCCOc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccc(OCC2CCCC2)cc1)C(=O)O,phe
CCCCCCOc1cccc(C[C@H](N)C(=O)O)c1,phe
CCC(=O)c1cccc(C[C@H](N)C(=O)O)c1,phe
CCCC(=O)c1cccc(C[C@H](N)C(=O)O)c1,phe
N[C@@H](Cc1ccc(CP(=O)(O)CCO)cc1)C(=O)O,phe
CP(=O)(O)Cc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccc(CP(=O)(O)CO)cc1)C(=O)O,phe
C/C=C/c1ccccc1C[C@H](N)C(=O)O,phe
N[C@@H](Cc1cccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)c1)C(=O)O,phe
[N-]=[N+]=Nc1ccc(C(=O)c2ccc(C[C@H](N)C(=O)O)cc2)cc1,phe
N[C@@H](Cc1ccc(C(=O)c2ccc(OCc3ccccc3)cc2)cc1)C(=O)O,phe
N[C@@H](Cc1cc(O)c(O)cc1Cl)C(=O)O,phe
Cc1cc(C)n(B(F)F)c1/C=C1\C=CC(CCC(=O)Nc2ccc(C[C@H](N)C(=O)O)cc2)=N1,phe
N[C@@H](Cc1ccc(NC(=O)CCC2=N/C(=C/c3ccc(-c4cccs4)n3B(F)F)C=C2)cc1)C(=O)O,phe
N[C@@H](Cc1ccc(Br)cc1Cl)C(=O)O,phe
Cc1nnc(-c2ccc(C[C@H](N)C(=O)O)cc2)nn1,phe
COc1ccc(CS[C@H](c2ccccc2)[C@H](N)C(=O)O)cc1,phe
[N-]=[N+]=Nc1cc(C[C@H](N)C(=O)O)ccc1F,phe
N[C@@H](Cc1cccc(Br)c1Cl)C(=O)O,phe
N[C@@H](Cc1cccc(C(=O)Cc2cc3ccccc3[nH]2)c1)C(=O)O,phe
CC(C)(C)Oc1ccc(C[C@H](N)C(=O)O)cc1O[Si](C)(C)C(C)(C)C,phe
NC(C(=O)c1ccccc1C[C@H](N)C(=O)O)C(=O)c1ccccc1C[C@H](N)C(=O)O,phe
CN(N=O)C(=O)Nc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccccc1C(=O)C=Cc1ccco1)C(=O)O,phe
N[C@@H](Cc1ccc(NCC2CCCCC2)cc1)C(=O)O,phe
Cc1c(Br)cccc1C[C@H](N)C(=O)O,phe
N#C[Se]c1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1ccc(C#CBr)cc1)C(=O)O,phe
C#CCSc1ccc(C[C@H](N)C(=O)O)cc1,phe
NCCC(=O)N1Cc2ccccc2-c2c(nnn2-c2ccc(C[C@H](N)C(=O)O)cc2)-c2ccccc21,phe
N[C@@H](Cc1c(F)c(F)c(I)c(F)c1F)C(=O)O,phe
C=CCOC(=O)Nc1ccc(C[C@H](N)C(=O)O)cc1,phe
N[C@@H](Cc1c(F)ccc(F)c1F)C(=O)O,phe
N[C@@H](Cc1cc(F)ccc1F)C(=O)O,phe
N[C@@H](Cc1ccc(F)cc1F)C(=O)O,phe
N[C@@H](Cc1ccc(F)c(F)c1F)C(=O)O,phe
N[C@@H](Cc1cc(F)cc(F)c1F)C(=O)O,phe
COc1ccccc1C[C@H](N)C(=O)O,phe
